hop,cos_like,sin_like,Tx,Ty,Tz,Cx,Cy,f
0,-0.5723739293937586,-1.0,1.8620166784710885,2.983183082019644,3.5381239581061683,-1.1407549563682302,3.0,-102.28887568941849
1,-0.5189154165583814,-0.854825590666331,1.7616148551143964,3.0065640205930264,3.53584413147965,-1.0283534052662877,3.0,-103.26426335677594
2,-0.5187207392097428,-0.8549437377475186,1.7647384967948607,3.0053413273423857,3.5362415130549123,-1.0220217787588695,2.6911900969914266,-103.26435656725828
3,-0.5187506456490387,-0.8549255918725943,1.7634471511769063,3.0061262615356052,3.536341925632863,-0.5385140321324364,1.86955313576726,-103.26424567271106
4,-0.5186852675097492,-0.8549652585154205,1.764790192855119,3.0040564579417826,3.536206596788041,0.16315587945359167,1.3787516564676556,-103.26402301066065
5,-0.5187195045397882,-0.8549444868586479,1.7644482522674239,3.005847729314284,3.536949648586832,-0.4000233626709153,1.994229555490838,-103.2642727967293
6,-0.5186967968780382,-0.8549582638400913,1.7642307889797566,3.005541751099539,3.5370082326081427,-0.0761126621478388,1.7196219770800494,-103.26436738826328
7,0.4737741596297283,-0.880646379466324,0.2621321998491179,0.03322571371896832,3.3643013962502217,-0.042838290702554974,1.8959502027224242,-146.94359781584097
8,0.4741902709592482,-0.8804223912007206,0.2618824251645113,0.032139315206690125,3.3651801965390384,-0.0048845255763180565,1.3927692953177098,-146.94374012053555
9,0.4738210560296794,-0.8806211483168682,0.26228457917207104,0.03254281636116312,3.364073121675101,0.13213591834633537,2.22475056958913,-146.94365516199997
10,0.47416523920537534,-0.8804358726956264,0.2619474214946167,0.03307393437051119,3.3646265227972916,-0.8844161264395232,3.0,-146.94366046025354
