hop,best_f,current_f,tacc_kj,ke_kj,accepted
1,-103.2642461571145,-103.2642461571145,3.0,2.3,1
2,-103.26426455134923,-103.26426455134923,3.0,2.6449999999999996,1
3,-103.26426455134923,-103.26423759798963,3.0,3.041749999999999,1
4,-103.2642752528857,-103.2642752528857,3.0,3.498012499999999,1
5,-103.2642752528857,-103.26405763048915,3.0,4.022714374999999,1
6,-103.2643452395381,-103.2643452395381,3.0,4.626121531249998,1
7,-103.2643452395381,-103.26430147115198,3.0,5.320039760937497,1
8,-103.26439935370419,-103.26439935370419,3.0,6.1180457250781215,1
9,-103.26439935370419,-103.26415438409741,3.0,7.035752583839839,1
10,-103.26439935370419,-103.2641503250779,3.0,8.091115471415815,1
