hop,best_f,current_f,tacc_kj,ke_kj,accepted
1,-145.24741219256268,-145.24741219256268,3.0,1.8,0
2,-146.94358919104948,-146.94358919104948,3.0,2.07,1
3,-146.94373249081758,-146.94373249081758,3.0,2.3804999999999996,1
4,-146.94373275206635,-146.94373275206635,3.0,2.737574999999999,1
5,-146.94373275206635,-146.9435658582353,3.0,3.148211249999999,1
6,-146.94373275206635,-146.9436362098226,3.0,3.6204429374999982,1
7,-146.94373275206635,-146.9436909882292,3.0,4.163509378124997,1
8,-146.94373275206635,-146.9435782965426,3.0,4.788035784843746,1
9,-146.94373275206635,-146.94352717543237,3.0,5.506241152570308,1
10,-146.94373275206635,-146.9436078741055,3.0,6.332177325455853,1
