hop,cos_like,sin_like,Tx,Ty,Tz,Cx,Cy,f
0,0.17408958332025273,-0.34036662642332327,0.2412190727311162,-0.07254353370123218,3.2993032568549228,3.0,-2.925137030421566,-145.24741219256268
1,0.17408958332025273,-0.34036662642332327,0.2412190727311162,-0.07254353370123218,3.2993032568549228,3.0,-2.925137030421566,-145.24741219256268
2,0.47396691198592833,-0.8805426544708232,0.2625193115078021,0.033520270646686015,3.364015465406167,3.0,-3.0,-146.94358919104948
3,0.47392085227004,-0.8805674453349039,0.2624957575133322,0.03322811616869634,3.364231474128527,2.798568908025502,-2.972438954585767,-146.94373249081758
4,0.4739927575272999,-0.8805287421837326,0.26198346492127816,0.033484880787742206,3.3651221879821263,2.3324675202100527,-3.0,-146.94373275206635
5,0.47394654595685143,-0.8805536165251779,0.262399714354751,0.0321788513950443,3.364177614083047,2.3025751996652493,-3.0,-146.9435658582353
6,0.47404389340881153,-0.8805012135833861,0.26152503592411136,0.03249666167277009,3.3643524928526873,2.3843279812280924,-3.0,-146.9436362098226
7,0.47397685056691924,-0.8805373047899019,0.261588109745123,0.033674685092964105,3.3644749207760603,2.1584841725085107,-2.4069640877111698,-146.9436909882292
8,0.47398896507603105,-0.8805307836675291,0.26177838266440195,0.03326627561124849,3.364689392678731,2.4647493052307934,-2.0435389678978595,-146.9435782965426
9,0.47362959387192355,-0.8807241383138744,0.2617499887409277,0.03414030815176943,3.3640625000000006,2.97348956967657,-2.349708109917797,-146.94352717543237
10,0.4741108626366346,-0.8804651554320285,0.2623561611866027,0.0328195242290181,3.3652150557245064,3.0,-2.0358035659142333,-146.9436078741055
