hop,best_f,current_f,tacc_kj,ke_kj,accepted
1,-99.86091408369789,-99.86091408369789,3.0,2.3,1
2,-99.86091408369789,-99.86088124787544,3.0,2.6449999999999996,1
3,-99.86091408369789,-99.8608608556211,3.0,3.041749999999999,1
4,-99.86102681609034,-99.86102681609034,3.0,3.498012499999999,1
5,-99.86102681609034,-99.86082352756583,3.0,4.022714374999999,1
6,-99.86102681609034,-99.86075335585288,3.0,4.626121531249998,1
7,-99.86102681609034,-99.86074635231861,3.0,5.320039760937497,1
8,-99.86102681609034,-99.86062599285724,3.0,6.1180457250781215,1
9,-99.86102681609034,-99.8608294717031,3.0,7.035752583839839,1
10,-99.86102681609034,-99.86090127650074,3.0,8.091115471415815,1
