hop,cos_like,sin_like,Tx,Ty,Tz,Cx,Cy,f
0,0.5374940881243799,-1.0,0.2673063798476727,0.04489032618371343,3.379898163707984,-0.025499520135165543,1.330532308603475,-146.87859972592025
1,0.4740835519161629,-0.8804798610999315,0.2622799077626,0.03385866154659711,3.364429825425783,-0.06631095398558653,1.3032097744928404,-146.94358005301342
2,0.47406398843336744,-0.8804903945362766,0.26314848354712794,0.03287572574806849,3.3647630486526343,0.1377993529593887,1.315871030787817,-146.94361408079743
3,0.47411888232814897,-0.8804608369597747,0.2626169644379085,0.031924306657932965,3.3648572102021093,0.5461112684707127,1.952726756704569,-146.94356404665672
4,0.4738773702532697,-0.8805908459448382,0.26212152486200024,0.03351360125871575,3.363963375597926,0.9393749737239985,2.015798126226802,-146.94350131557164
5,0.47392588773835564,-0.8805647352304155,0.2619038144328774,0.03381047835905073,3.3641463528837026,0.900196102900874,2.355306525275182,-146.94366425802426
6,0.474134907245969,-0.8804522075222803,0.2622331071268157,0.033453744458479776,3.3647581290331496,0.5498200212319877,1.4734449844971986,-146.94358958094517
7,0.4737069684447693,-0.8806825239817504,0.26202356047792885,0.033342664340805565,3.36392195436533,0.9541808575772355,1.7640971813165218,-146.94352359424963
8,0.473669890209933,-0.8807024668459321,0.26123453083935544,0.033105894687627424,3.363821400668468,1.2966780627737902,1.6291708225987853,-146.94355121188704
9,0.47423395809664903,-0.8803988601696311,0.2616103744820953,0.03376846747602487,3.364629360837572,1.6710130939299823,1.626771778154087,-146.94361160494103
10,0.4739552818307253,-0.880548914498654,0.26143436797013114,0.034549972821610105,3.3645056436810816,1.4989792582537105,0.8270448598372203,-146.9436704594554
