hop,best_f,current_f,tacc_kj,ke_kj,accepted
1,-146.94370863423728,-146.94370863423728,3.0,2.3,1
2,-146.94370863423728,-146.94368446648662,3.0,2.6449999999999996,1
3,-146.94370863423728,-146.94353032996844,3.0,3.041749999999999,1
4,-146.94370863423728,-146.94356207620962,3.0,3.498012499999999,1
5,-146.94370863423728,-146.94364832781847,3.0,4.022714374999999,1
6,-146.94370863423728,-146.94358157580803,3.0,4.626121531249998,1
7,-146.94370863423728,-146.94356283365198,3.0,5.320039760937497,1
8,-146.94380203638414,-146.94380203638414,3.0,6.1180457250781215,1
9,-146.94380203638414,-146.94366328134484,3.0,7.035752583839839,1
10,-146.94380203638414,-146.94372335539327,3.0,8.091115471415815,1
