hop,cos_like,sin_like,Tx,Ty,Tz,Cx,Cy,f
0,0.5529059195639822,-1.0,0.1834932275268295,0.18479608141869502,3.4427229265911903,-3.0,3.0,-144.3690337661089
1,0.4737504294062659,-0.8806591455480258,0.2615567604448926,0.0336700436649937,3.3635787317916015,-3.0,3.0,-146.94370863423728
2,0.4739086638581165,-0.8805740050218464,0.2622652902392813,0.03337318061878234,3.364296331714634,-2.7825457757705796,3.0,-146.94368446648662
3,0.4739491543999338,-0.880552212559589,0.26265250917354566,0.033639851932292165,3.3650070494173665,-2.4915199041609553,3.0,-146.94353032996844
4,0.47385123317809297,-0.8806049107378408,0.26154806308972034,0.0334696168631324,3.3643016844299356,-3.0,2.7033616460311456,-146.94356207620962
5,0.4738691086025454,-0.880595291784046,0.26188486834673547,0.032864856820236044,3.3640625,-2.747211084237025,2.6300785611770436,-146.94364832781847
6,0.47385573597601016,-0.8806024877790397,0.2615834590357671,0.034259893902714854,3.364210634927871,-2.5882670067524502,2.967873971410205,-146.94358157580803
7,0.4743418309873009,-0.8803407450388826,0.2625323545204331,0.033193581105968546,3.365234705935946,-2.91077908723579,2.7149847076015745,-146.94356283365198
8,0.4737024698002205,-0.8806849437257182,0.2619310231320153,0.033341713956363,3.363669490482372,-2.4511513852864977,2.732258815082,-146.94380203638414
9,0.47405933863354566,-0.8804928980147003,0.26187904974379006,0.03314806838203729,3.3650381704067396,-2.0236167862795305,2.689289990548356,-146.94366328134484
10,0.4739628592548624,-0.8805448359095382,0.26194244782081705,0.03318015034775338,3.364198731770995,-2.4874878618926215,2.8837504231845656,-146.94372335539327
