hop,cos_like,sin_like,Tx,Ty,Tz,Cx,Cy,f
0,0.5423194476251467,-1.0,0.20180237991803118,0.10608182335661197,3.4113167479827373,3.0,-2.8455412593619527,-146.1312395324365
1,0.4740405676066507,-0.8805030041193297,0.2626136710790816,0.033656580510048814,3.364845610470111,3.0,-2.8438097862379816,-146.94371728917574
2,0.4740405676066507,-0.8805030041193297,0.2626136710790816,0.033656580510048814,3.364845610470111,3.0,-2.8438097862379816,-146.94371728917574
3,0.47372967049487785,-0.8806703124852197,0.2610907870729528,0.033627032703410276,3.3641583486215656,3.0,-2.629451679207879,-146.94356762783946
4,0.47399084604834285,-0.880529771139157,0.26186101866437206,0.033466964545136826,3.364433720569731,2.847120236826531,-2.1260440422151987,-146.94375453716248
5,0.4739393955609301,-0.8805574650954587,0.26283463433052084,0.03246553910311545,3.364737062770051,3.0,-2.121063298649753,-146.9434906074685
6,0.47369409069048773,-0.8806894506265601,0.2616736181504644,0.03348073556712183,3.3635086410338206,2.8959294049441153,-1.7179367298939139,-146.94376913754408
7,0.4742231713843292,-0.8804046704341073,0.26157795416838725,0.03389603487627524,3.365049720208993,2.6074223500742923,-0.8966321379957672,-146.94373235299224
8,0.47397511865681213,-0.8805382370426971,0.2620750405436628,0.033015220299560055,3.3640625,3.0,-0.5177586012360931,-146.9438410211044
9,0.47389183502146226,-0.8805830617834932,0.262308176936271,0.033043034981075935,3.364635562396937,2.553462271832415,-1.5925247559302724,-146.9436219651602
10,0.47388957808558535,-0.8805842763653379,0.2610526642932887,0.03395514583096275,3.364841035900239,3.0,-0.9880102188877486,-146.94352537042045
