hop,best_f,current_f,tacc_kj,ke_kj,accepted
1,-146.94371728917574,-146.94371728917574,3.0,2.3,1
2,-146.94371728917574,-146.94371728917574,3.0,2.07,0
3,-146.94371728917574,-146.94356762783946,3.0,2.3804999999999996,1
4,-146.94375453716248,-146.94375453716248,3.0,2.737574999999999,1
5,-146.94375453716248,-146.9434906074685,3.0,3.148211249999999,1
6,-146.94376913754408,-146.94376913754408,3.0,3.6204429374999982,1
7,-146.94376913754408,-146.94373235299224,3.0,4.163509378124997,1
8,-146.9438410211044,-146.9438410211044,3.0,4.788035784843746,1
9,-146.9438410211044,-146.9436219651602,3.0,5.506241152570308,1
10,-146.9438410211044,-146.94352537042045,3.0,6.332177325455853,1
