hop,best_f,current_f,tacc_kj,ke_kj,accepted
1,-99.86072559117443,-99.86072559117443,3.0,2.3,1
2,-99.86091906555764,-99.86091906555764,3.0,2.6449999999999996,1
3,-99.86091906555764,-99.86074095825143,3.0,3.041749999999999,1
4,-99.86091906555764,-99.86081787355573,3.0,3.498012499999999,1
5,-99.86091906555764,-99.8608486142391,3.0,4.022714374999999,1
6,-99.86095352133145,-99.86095352133145,3.0,4.626121531249998,1
7,-99.86095352133145,-99.86089622371355,3.0,5.320039760937497,1
8,-99.86095352133145,-99.86066507868921,3.0,6.1180457250781215,1
9,-99.86095352133145,-99.86074993876214,3.0,7.035752583839839,1
10,-99.86095352133145,-99.86086518767954,3.0,8.091115471415815,1
